数据集,字段,类别,数量,比例
男胎,IVF妊娠,自然受孕,1065,0.9842883548983364
男胎,IVF妊娠,IUI（人工授精）,9,0.00831792975970425
男胎,IVF妊娠,IVF（试管婴儿）,8,0.0073937153419593345
男胎,检测抽血次数,1,279,0.2578558225508318
男胎,检测抽血次数,3,270,0.24953789279112754
男胎,检测抽血次数,2,266,0.24584103512014788
男胎,检测抽血次数,4,264,0.24399260628465805
男胎,检测抽血次数,5,3,0.0027726432532347504
男胎,怀孕次数,1,552,0.5101663585951941
男胎,怀孕次数,≥3,300,0.27726432532347506
男胎,怀孕次数,2,230,0.21256931608133087
男胎,生产次数,0,751,0.6940850277264325
男胎,生产次数,1,263,0.24306839186691312
男胎,生产次数,2,56,0.051756007393715345
男胎,生产次数,3,12,0.011090573012939002
男胎,异常类型_分类,正常,956,0.8835489833641405
男胎,异常类型_分类,T18,57,0.05268022181146026
男胎,异常类型_分类,复合异常,26,0.024029574861367836
男胎,异常类型_分类,T21,23,0.021256931608133085
男胎,异常类型_分类,T13,20,0.018484288354898338
男胎,染色体的非整倍体,空白/缺失,956,0.8835489833641405
男胎,染色体的非整倍体,T18,57,0.05268022181146026
男胎,染色体的非整倍体,T13T18,25,0.02310536044362292
男胎,染色体的非整倍体,T21,23,0.021256931608133085
男胎,染色体的非整倍体,T13,20,0.018484288354898338
男胎,染色体的非整倍体,T13T18T21,1,0.0009242144177449168
男胎,胎儿是否健康,是,1044,0.9648798521256932
男胎,胎儿是否健康,否,38,0.03512014787430684
男胎,Y_pass,1,937,0.865988909426987
男胎,Y_pass,0,145,0.13401109057301294
男胎,GC_range_flag,False,631,0.5831792975970426
男胎,GC_range_flag,True,451,0.4168207024029575
男胎,是否重复测量,True,1075,0.9935304990757856
男胎,是否重复测量,False,7,0.006469500924214418
女胎,IVF妊娠,自然受孕,597,0.9867768595041322
女胎,IVF妊娠,IVF（试管婴儿）,8,0.013223140495867768
女胎,检测抽血次数,1,156,0.2578512396694215
女胎,检测抽血次数,2,155,0.256198347107438
女胎,检测抽血次数,3,148,0.24462809917355371
女胎,检测抽血次数,4,144,0.23801652892561984
女胎,检测抽血次数,5,2,0.003305785123966942
女胎,怀孕次数,1,238,0.3933884297520661
女胎,怀孕次数,2,202,0.3338842975206612
女胎,怀孕次数,≥3,165,0.2727272727272727
女胎,生产次数,0,364,0.6016528925619835
女胎,生产次数,1,227,0.3752066115702479
女胎,生产次数,2,14,0.023140495867768594
女胎,异常类型_分类,正常,538,0.8892561983471075
女胎,异常类型_分类,T18,33,0.05454545454545454
女胎,异常类型_分类,复合异常,15,0.024793388429752067
女胎,异常类型_分类,T13,10,0.01652892561983471
女胎,异常类型_分类,T21,9,0.01487603305785124
女胎,染色体的非整倍体,空白/缺失,538,0.8892561983471075
女胎,染色体的非整倍体,T18,33,0.05454545454545454
女胎,染色体的非整倍体,T13T18,11,0.01818181818181818
女胎,染色体的非整倍体,T13,10,0.01652892561983471
女胎,染色体的非整倍体,T21,9,0.01487603305785124
女胎,染色体的非整倍体,T18T21,2,0.003305785123966942
女胎,染色体的非整倍体,T13T21,2,0.003305785123966942
女胎,胎儿是否健康,是,605,1.0
女胎,Y_pass,空白/缺失,605,1.0
女胎,GC_range_flag,False,385,0.6363636363636364
女胎,GC_range_flag,True,220,0.36363636363636365
女胎,是否重复测量,True,601,0.9933884297520661
女胎,是否重复测量,False,4,0.006611570247933884
