变量,变量名称,record_level_Pearson_r,record_level_Pearson_p_naive,record_level_Spearman_rho,record_level_Spearman_p_naive,record_level_n,partial_Spearman_control_week
X染色体浓度,X 染色体浓度（比例值）,0.5185955937758547,1.597351839318306e-75,0.47444615496407244,7.95211590309784e-62,1082,
检测抽血次数,检测抽血次数,0.32989005276606503,6.964736788801286e-29,0.3229968016002186,1.0796602250566082e-27,1082,
18号染色体的Z值,18 号染色体 Z 值,-0.16555799384871794,4.316891414605126e-08,-0.178162993178759,3.6141440996209757e-09,1082,
体重,体重（kg）,-0.1806009455711049,2.190083110974552e-09,-0.16697018963604288,3.299411462457054e-08,1082,
在参考基因组上比对的比例,比对比例,-0.10549656894995266,0.0005091950260165358,-0.15943210693349455,1.3493241590853368e-07,1082,
measurement_BMI,检测时 BMI（kg/m²）,-0.15130121183097697,5.73527253301354e-07,-0.1549524716363677,3.0223949811419144e-07,1082,-0.16865161624368932
年龄,年龄（岁）,-0.1193909001467903,8.258709162388902e-05,-0.11720094019880417,0.00011152318585615474,1082,
Y染色体的Z值,Y 染色体 Z 值,0.06613892781307469,0.029598197911803598,0.11345519028785761,0.0001842136178490365,1082,
重复读段的比例,重复读段比例,0.0916101970482851,0.002559086857076294,0.1058103196583375,0.0004898103586609589,1082,
身高,身高（cm）,-0.10465062664355511,0.0005650770230304496,-0.10112886401612817,0.0008647006231826148,1082,
被过滤掉读段数的比例,过滤读段比例,0.05992508220158677,0.04876340822472262,0.0860377141892331,0.004624537062341289,1082,
原始读段数,原始读段数（条）,-0.10994105590057228,0.00029099909898379,-0.08598906895682422,0.00464783535463098,1082,
孕周_连续值,连续孕周（周）,0.12656002844735784,2.9795639953541916e-05,0.08428675276902133,0.0055330486404856286,1082,
13号染色体的Z值,13 号染色体 Z 值,-0.06378003251714011,0.03593372342533264,-0.0766495253719725,0.011666035877230875,1082,
唯一比对的读段数,唯一比对读段数（条）,-0.09877320000236632,0.001141029797504677,-0.06943907987737101,0.02235799041574383,1082,
X染色体的Z值,X 染色体 Z 值,-0.04600271157014865,0.13046923574464864,-0.05589144422773659,0.06609308686476723,1082,
21号染色体的Z值,21 号染色体 Z 值,0.018486066824806482,0.5435686098794926,0.033535402723624305,0.27040050376419306,1082,
GC含量,GC 含量（比例）,-0.019352347606999398,0.5248446094354245,-0.01664606230814856,0.5844084746807454,1082,
