数据集,变量一,变量二,Spearman相关系数,P值,样本数
女胎,年龄,年龄,1.0,0.0,605
女胎,年龄,身高,-0.003527292119772247,0.9310047619971498,605
女胎,年龄,体重,0.07588284024218724,0.06213920321376698,605
女胎,年龄,BMI_calc,0.07573389674307598,0.0626553512374867,605
女胎,年龄,孕周_连续值,0.03852477364641125,0.34416100492270946,605
女胎,年龄,检测抽血次数,0.02173828169641363,0.5935848792052876,605
女胎,年龄,原始读段数,-0.043528928174909075,0.28508654879683837,605
女胎,年龄,在参考基因组上比对的比例,-0.01396104192811837,0.7318220882360482,605
女胎,年龄,重复读段的比例,0.017020111319918572,0.6760905222439464,605
女胎,年龄,唯一比对的读段数,-0.0436112617996546,0.284175556005213,605
女胎,年龄,GC含量,0.023239196119098856,0.5683362080279929,605
女胎,年龄,被过滤掉读段数的比例,0.031023733979989223,0.4462461237698457,605
女胎,年龄,13号染色体的Z值,-0.07374781562502125,0.06988212700355456,605
女胎,年龄,18号染色体的Z值,-0.027285820045455576,0.5029348109862496,605
女胎,年龄,21号染色体的Z值,-0.010664162139348423,0.793499783932447,605
女胎,年龄,X染色体的Z值,-0.07149696441748,0.0788828428134854,605
女胎,年龄,X染色体浓度,-0.01271662955357944,0.754923883943156,605
女胎,年龄,abnormal_any,-0.057080010293851076,0.16084882580975157,605
女胎,身高,年龄,-0.0035272921197722473,0.9310047619971498,605
女胎,身高,身高,1.0,0.0,605
女胎,身高,体重,0.6414663601204,1.934722469854312e-71,605
女胎,身高,BMI_calc,0.055822205311248124,0.17028939646885988,605
女胎,身高,孕周_连续值,-0.012408305704346678,0.7606826232382866,605
女胎,身高,检测抽血次数,0.01273176981497285,0.7546414474588231,605
女胎,身高,原始读段数,-0.04437807271723852,0.27578548141197895,605
女胎,身高,在参考基因组上比对的比例,0.043076961236354856,0.29012247269020697,605
女胎,身高,重复读段的比例,0.050878003605476035,0.21142568224776617,605
女胎,身高,唯一比对的读段数,-0.046029115450835816,0.2582974657102033,605
女胎,身高,GC含量,-0.06477003602078289,0.11149508409348859,605
女胎,身高,被过滤掉读段数的比例,0.05426663413315223,0.1825302841635921,605
女胎,身高,13号染色体的Z值,0.013094316577094865,0.7478881133958043,605
女胎,身高,18号染色体的Z值,0.03520334496287254,0.3873874139430958,605
女胎,身高,21号染色体的Z值,-0.07013245841971526,0.08478267705769515,605
女胎,身高,X染色体的Z值,0.03044236093059336,0.45481746209357976,605
女胎,身高,X染色体浓度,0.011757624856207927,0.7728789077032336,605
女胎,身高,abnormal_any,-0.04585071968995965,0.2601492206867707,605
女胎,体重,年龄,0.07588284024218724,0.06213920321376698,605
女胎,体重,身高,0.6414663601204001,1.9347224698540057e-71,605
女胎,体重,体重,1.0,0.0,605
女胎,体重,BMI_calc,0.7712542525813619,2.1161553444237465e-120,605
女胎,体重,孕周_连续值,0.13553244159297181,0.0008311822109504192,605
女胎,体重,检测抽血次数,0.1586596102782088,8.8809590765622e-05,605
女胎,体重,原始读段数,-0.10817526918354739,0.007742998586710804,605
女胎,体重,在参考基因组上比对的比例,-0.05303410257239956,0.19268213159471312,605
女胎,体重,重复读段的比例,0.07266543987717511,0.07409946110965644,605
女胎,体重,唯一比对的读段数,-0.11481777907930543,0.004688956037545226,605
女胎,体重,GC含量,-0.09963690442651879,0.014215192278225644,605
女胎,体重,被过滤掉读段数的比例,0.04286601431409688,0.2924932151832631,605
女胎,体重,13号染色体的Z值,0.06984470072646029,0.0860712478222323,605
女胎,体重,18号染色体的Z值,0.15171587465869912,0.00017988896207850018,605
女胎,体重,21号染色体的Z值,0.02299954991212373,0.5723330249584988,605
女胎,体重,X染色体的Z值,0.140400149334167,0.0005333658694890973,605
女胎,体重,X染色体浓度,0.040469669409828164,0.32033447314444463,605
女胎,体重,abnormal_any,-0.07151450680870712,0.07880922007881687,605
女胎,BMI_calc,年龄,0.07573389674307598,0.0626553512374867,605
女胎,BMI_calc,身高,0.055822205311248124,0.17028939646885988,605
女胎,BMI_calc,体重,0.7712542525813618,2.116155344423998e-120,605
女胎,BMI_calc,BMI_calc,1.0,0.0,605
女胎,BMI_calc,孕周_连续值,0.2280235688922314,1.4119985345006525e-08,605
女胎,BMI_calc,检测抽血次数,0.23902902077002167,2.6215900837465233e-09,605
女胎,BMI_calc,原始读段数,-0.10862764339488822,0.0074890212534295736,605
女胎,BMI_calc,在参考基因组上比对的比例,-0.08176105690636896,0.044403287733111405,605
女胎,BMI_calc,重复读段的比例,0.05670718906892644,0.16360498774121446,605
女胎,BMI_calc,唯一比对的读段数,-0.11403664498399542,0.004980443775818229,605
女胎,BMI_calc,GC含量,-0.09064341203878934,0.02577975888782942,605
