变量,年龄,身高,体重,BMI_calc,孕周_连续值,检测抽血次数,原始读段数,在参考基因组上比对的比例,重复读段的比例,唯一比对的读段数,GC含量,被过滤掉读段数的比例,13号染色体的Z值,18号染色体的Z值,21号染色体的Z值,X染色体的Z值,X染色体浓度,abnormal_any
年龄,1.0,-0.003527292119772247,0.07588284024218722,0.07573389674307597,0.03852477364641124,0.02173828169641363,-0.04352892817490907,-0.01396104192811837,0.017020111319918572,-0.0436112617996546,0.023239196119098856,0.03102373397998922,-0.07374781562502125,-0.027285820045455572,-0.010664162139348421,-0.07149696441748,-0.01271662955357944,-0.05708001029385107
身高,-0.003527292119772247,1.0,0.6414663601204,0.05582220531124812,-0.012408305704346676,0.01273176981497285,-0.044378072717238516,0.043076961236354856,0.05087800360547603,-0.046029115450835816,-0.06477003602078288,0.05426663413315223,0.013094316577094863,0.035203344962872536,-0.07013245841971526,0.030442360930593354,0.011757624856207925,-0.04585071968995964
体重,0.07588284024218722,0.6414663601204,1.0,0.7712542525813618,0.1355324415929718,0.15865961027820882,-0.10817526918354738,-0.05303410257239956,0.07266543987717511,-0.11481777907930543,-0.0996369044265188,0.04286601431409688,0.06984470072646029,0.15171587465869912,0.02299954991212373,0.14040014933416697,0.04046966940982816,-0.0715145068087071
BMI_calc,0.07573389674307597,0.05582220531124812,0.7712542525813618,1.0,0.2280235688922314,0.23902902077002167,-0.10862764339488822,-0.08176105690636895,0.05670718906892644,-0.11403664498399543,-0.09064341203878934,0.014276534455277013,0.07355884505417766,0.1566323360584937,0.09609256738841698,0.1637681647240773,0.01217617386225786,-0.035044383139626274
孕周_连续值,0.03852477364641124,-0.012408305704346676,0.1355324415929718,0.2280235688922314,1.0,0.9428402372305233,-0.16565927479574574,-0.11414404622821213,0.0213057883490406,-0.18150371655276526,-0.07623962384120628,-0.057099665622238484,0.10468356042288046,0.2174128251441779,0.09615926132679825,0.1273531542417798,-0.03195183964777322,0.06405463032308395
检测抽血次数,0.02173828169641363,0.01273176981497285,0.15865961027820882,0.23902902077002167,0.9428402372305233,1.0,-0.13907518689558068,-0.10161041316967177,0.022631311777238747,-0.1531634492258721,-0.09507223623208566,-0.04367601086646595,0.10684312118226615,0.22795428592127295,0.09851336959875626,0.16627888976872304,-0.0401915116147077,0.0357959244423805
原始读段数,-0.04352892817490907,-0.044378072717238516,-0.10817526918354738,-0.10862764339488822,-0.16565927479574574,-0.13907518689558068,1.0,0.1271434307789599,0.15062922306679796,0.9916988508001914,0.09400819799932097,-0.05226954363106389,-0.09959650390084161,-0.22329016766818163,0.00967426062293165,-0.08472935794482518,-0.044001341735618475,-0.013480773925557172
在参考基因组上比对的比例,-0.01396104192811837,0.043076961236354856,-0.05303410257239956,-0.08176105690636895,-0.11414404622821213,-0.10161041316967177,0.1271434307789599,1.0,-0.1546532919396696,0.21784925632840227,-0.05115356276804993,0.07770578382341545,-0.12530802749149086,-0.1389040469369032,-0.027660291616157403,-0.10280073762945229,0.020383760230327667,0.004312641322941109
重复读段的比例,0.017020111319918572,0.05087800360547603,0.07266543987717511,0.05670718906892644,0.0213057883490406,0.022631311777238747,0.15062922306679796,-0.1546532919396696,1.0,0.125486257234995,0.13466948021115374,-0.02828672391622064,0.10265973617229272,0.10615946603691073,-0.04041079002542036,0.05314226786917102,-0.017213069892178863,-0.03362653898656878
唯一比对的读段数,-0.0436112617996546,-0.046029115450835816,-0.11481777907930543,-0.11403664498399543,-0.18150371655276526,-0.1531634492258721,0.9916988508001914,0.21784925632840227,0.125486257234995,1.0,0.08742887050122808,-0.040627277658530456,-0.11401268362838692,-0.23925362433895406,0.008371378980161713,-0.09239253245011436,-0.04265722177274922,-0.009620507566560936
GC含量,0.023239196119098856,-0.06477003602078288,-0.0996369044265188,-0.09064341203878934,-0.07623962384120628,-0.09507223623208566,0.09400819799932097,-0.05115356276804993,0.13466948021115374,0.08742887050122808,1.0,-0.03745087082016124,-0.10930092254214631,-0.1396920204621729,-0.07647605923789931,-0.18428029085046166,-0.00328251071576543,-0.022980648479727774
被过滤掉读段数的比例,0.03102373397998922,0.05426663413315223,0.04286601431409688,0.014276534455277013,-0.057099665622238484,-0.04367601086646595,-0.05226954363106389,0.07770578382341545,-0.02828672391622064,-0.040627277658530456,-0.03745087082016124,1.0,0.05490711623841493,0.01400970319789354,-0.031032025538496055,0.03321413417681322,0.03156752761368852,-0.018185473550583836
13号染色体的Z值,-0.07374781562502125,0.013094316577094863,0.06984470072646029,0.07355884505417766,0.10468356042288046,0.10684312118226615,-0.09959650390084161,-0.12530802749149086,0.10265973617229272,-0.11401268362838692,-0.10930092254214631,0.05490711623841493,1.0,0.4498200090930225,0.10570275570603418,0.5266239688387864,0.0022671863814918516,-0.04065343009317912
18号染色体的Z值,-0.027285820045455572,0.035203344962872536,0.15171587465869912,0.1566323360584937,0.2174128251441779,0.22795428592127295,-0.22329016766818163,-0.1389040469369032,0.10615946603691073,-0.23925362433895406,-0.1396920204621729,0.01400970319789354,0.4498200090930225,1.0,-0.03744927171826153,0.4807676613537332,0.0701079620303993,0.013179190616260592
21号染色体的Z值,-0.010664162139348421,-0.07013245841971526,0.02299954991212373,0.09609256738841698,0.09615926132679825,0.09851336959875626,0.00967426062293165,-0.027660291616157403,-0.04041079002542036,0.008371378980161713,-0.07647605923789931,-0.031032025538496055,0.10570275570603418,-0.03744927171826153,1.0,0.0243590042327532,-0.10468474902878608,0.055581803903359886
X染色体的Z值,-0.07149696441748,0.030442360930593354,0.14040014933416697,0.1637681647240773,0.1273531542417798,0.16627888976872304,-0.08472935794482518,-0.10280073762945229,0.05314226786917102,-0.09239253245011436,-0.18428029085046166,0.03321413417681322,0.5266239688387864,0.4807676613537332,0.0243590042327532,1.0,0.08178751047892267,-0.05494847895383707
X染色体浓度,-0.01271662955357944,0.011757624856207925,0.04046966940982816,0.01217617386225786,-0.03195183964777322,-0.0401915116147077,-0.044001341735618475,0.020383760230327667,-0.017213069892178863,-0.04265722177274922,-0.00328251071576543,0.03156752761368852,0.0022671863814918516,0.0701079620303993,-0.10468474902878608,0.08178751047892267,1.0,-0.29413420155695547
abnormal_any,-0.05708001029385107,-0.04585071968995964,-0.0715145068087071,-0.035044383139626274,0.06405463032308395,0.0357959244423805,-0.013480773925557172,0.004312641322941109,-0.03362653898656878,-0.009620507566560936,-0.022980648479727774,-0.018185473550583836,-0.04065343009317912,0.013179190616260592,0.055581803903359886,-0.05494847895383707,-0.29413420155695547,1.0
