数据集,变量一,变量二,Spearman相关系数,P值,样本数
男胎,年龄,年龄,1.0,0.0,1082
男胎,年龄,身高,0.0508564384456416,0.09452268738579382,1082
男胎,年龄,体重,0.04451982904633179,0.14334213429520684,1082
男胎,年龄,BMI_calc,0.023569287716371103,0.4386386312108789,1082
男胎,年龄,孕周_连续值,-0.00036055198204345185,0.99054831689905,1082
男胎,年龄,检测抽血次数,-0.008312549250964212,0.7847611775008958,1082
男胎,年龄,原始读段数,-0.020105952509150083,0.5088285394810877,1082
男胎,年龄,在参考基因组上比对的比例,0.0031324099384809918,0.9180281142089181,1082
男胎,年龄,重复读段的比例,0.04824118717325081,0.1127566329612371,1082
男胎,年龄,唯一比对的读段数,-0.005681399637827348,0.8519208407171596,1082
男胎,年龄,GC含量,0.04612223499307144,0.1294719777340932,1082
男胎,年龄,被过滤掉读段数的比例,0.014265151510303026,0.6392726069554757,1082
男胎,年龄,13号染色体的Z值,-0.05066563505877459,0.09576777020311922,1082
男胎,年龄,18号染色体的Z值,-0.025117337376511714,0.40915639846232343,1082
男胎,年龄,21号染色体的Z值,-0.035690761168195966,0.2407876464112652,1082
男胎,年龄,X染色体的Z值,-0.08706309747949284,0.004157381310432708,1082
男胎,年龄,Y染色体的Z值,-0.09169508103553292,0.002535497674265837,1082
男胎,年龄,Y染色体浓度,-0.11720094019880418,0.00011152318585615414,1082
男胎,年龄,X染色体浓度,-0.020601503098962963,0.49843792128992953,1082
男胎,身高,年龄,0.0508564384456416,0.09452268738579382,1082
男胎,身高,身高,1.0,0.0,1082
男胎,身高,体重,0.6489699696686182,2.254981195333848e-130,1082
男胎,身高,BMI_calc,0.061492713868652744,0.04314505114522823,1082
男胎,身高,孕周_连续值,0.02424574866116945,0.4256082603382299,1082
男胎,身高,检测抽血次数,-0.017684288805608805,0.561189261109148,1082
男胎,身高,原始读段数,-0.023501361045485978,0.4399596030456436,1082
男胎,身高,在参考基因组上比对的比例,0.019982295943322858,0.5114389092064551,1082
男胎,身高,重复读段的比例,-0.03269166851165615,0.28264506976552295,1082
男胎,身高,唯一比对的读段数,-0.021237065952790776,0.4852782817446774,1082
男胎,身高,GC含量,-0.007966533617890119,0.7935137523455053,1082
男胎,身高,被过滤掉读段数的比例,0.011556567300220966,0.7041589651709039,1082
男胎,身高,13号染色体的Z值,-0.023074719226307078,0.448308461282327,1082
男胎,身高,18号染色体的Z值,0.02950395668374877,0.33225308831784783,1082
男胎,身高,21号染色体的Z值,-0.06496801618118908,0.032611782842108895,1082
男胎,身高,X染色体的Z值,-0.016662460861078456,0.5840382876936507,1082
男胎,身高,Y染色体的Z值,-0.043579500713120084,0.15199573559938095,1082
男胎,身高,Y染色体浓度,-0.10112886401612817,0.0008647006231826148,1082
男胎,身高,X染色体浓度,-0.024373171213591498,0.42317927791891435,1082
男胎,体重,年龄,0.044519829046331796,0.14334213429520673,1082
男胎,体重,身高,0.6489699696686182,2.254981195333848e-130,1082
男胎,体重,体重,0.9999999999999998,0.0,1082
男胎,体重,BMI_calc,0.7711200338598836,5.49353078772544e-214,1082
男胎,体重,孕周_连续值,0.1158949870629025,0.00013307475472839516,1082
男胎,体重,检测抽血次数,0.11109136656423182,0.00025091125657431836,1082
男胎,体重,原始读段数,-0.05942730491464795,0.050670969889027494,1082
男胎,体重,在参考基因组上比对的比例,0.027426510286649476,0.36743519877696107,1082
男胎,体重,重复读段的比例,-0.011333160879018433,0.7096163257220309,1082
男胎,体重,唯一比对的读段数,-0.0672169693949973,0.02703828932792684,1082
男胎,体重,GC含量,-0.008771889451997021,0.7731840610968014,1082
男胎,体重,被过滤掉读段数的比例,-0.004530806698998369,0.8816611039357692,1082
男胎,体重,13号染色体的Z值,-0.01084038447703993,0.7217062212829743,1082
男胎,体重,18号染色体的Z值,0.06790345884725993,0.0255095849346531,1082
男胎,体重,21号染色体的Z值,-0.044434690773885635,0.14410975224796813,1082
男胎,体重,X染色体的Z值,-0.023359073771496684,0.4427340430395751,1082
男胎,体重,Y染色体的Z值,-0.009873444080755973,0.7456297024444523,1082
男胎,体重,Y染色体浓度,-0.16697018963604288,3.299411462457054e-08,1082
男胎,体重,X染色体浓度,-0.044950812033337485,0.1395043146959882,1082
男胎,BMI_calc,年龄,0.023569287716371103,0.4386386312108789,1082
男胎,BMI_calc,身高,0.061492713868652744,0.04314505114522823,1082
男胎,BMI_calc,体重,0.7711200338598836,5.49353078772544e-214,1082
男胎,BMI_calc,BMI_calc,1.0,0.0,1082
男胎,BMI_calc,孕周_连续值,0.1366946128852437,6.409805960460552e-06,1082
男胎,BMI_calc,检测抽血次数,0.15836617856305835,1.638128560623014e-07,1082
男胎,BMI_calc,原始读段数,-0.045958093690262394,0.13084303218834262,1082
男胎,BMI_calc,在参考基因组上比对的比例,0.027433843865743174,0.3673070624338938,1082
男胎,BMI_calc,重复读段的比例,-0.004498634598707953,0.8824952833616928,1082
男胎,BMI_calc,唯一比对的读段数,-0.06106691252327263,0.044614234707919885,1082
男胎,BMI_calc,GC含量,-0.004585855317982099,0.8802340715601102,1082
男胎,BMI_calc,被过滤掉读段数的比例,-0.006032542291444342,0.8428842945287818,1082
男胎,BMI_calc,13号染色体的Z值,0.004641851988259449,0.8787828611469157,1082
男胎,BMI_calc,18号染色体的Z值,0.07660965124778381,0.011709750184544749,1082
男胎,BMI_calc,21号染色体的Z值,-0.01810163408135646,0.5519828880580898,1082
男胎,BMI_calc,X染色体的Z值,-0.015187840387114203,0.6177535827747397,1082
男胎,BMI_calc,Y染色体的Z值,0.0037348258888215075,0.9023360141566792,1082
男胎,BMI_calc,Y染色体浓度,-0.1549524716363677,3.0223949811419144e-07,1082
男胎,BMI_calc,X染色体浓度,-0.05619609554647204,0.06462766034163275,1082
男胎,孕周_连续值,年龄,-0.00036055198204345185,0.99054831689905,1082
男胎,孕周_连续值,身高,0.024245748661169447,0.42560826033822996,1082
男胎,孕周_连续值,体重,0.1158949870629025,0.00013307475472839516,1082
男胎,孕周_连续值,BMI_calc,0.1366946128852437,6.409805960460552e-06,1082
男胎,孕周_连续值,孕周_连续值,1.0,0.0,1082
男胎,孕周_连续值,检测抽血次数,0.7984754245573238,2.939005768061559e-240,1082
男胎,孕周_连续值,原始读段数,-0.0666813979517304,0.028285153155866275,1082
男胎,孕周_连续值,在参考基因组上比对的比例,-0.010584211963279655,0.7280189811875304,1082
男胎,孕周_连续值,重复读段的比例,0.031137874152916047,0.3061630705533535,1082
男胎,孕周_连续值,唯一比对的读段数,-0.08433040697409724,0.0055085705875495385,1082
男胎,孕周_连续值,GC含量,-0.06110677757082048,0.0444749194303511,1082
男胎,孕周_连续值,被过滤掉读段数的比例,0.023637664838612942,0.43731120127308515,1082
男胎,孕周_连续值,13号染色体的Z值,0.17061536643477704,1.6312990618308917e-08,1082
男胎,孕周_连续值,18号染色体的Z值,0.29610825425408954,2.4493839296399968e-23,1082
男胎,孕周_连续值,21号染色体的Z值,0.03824905178246184,0.2086952674751074,1082
男胎,孕周_连续值,X染色体的Z值,0.1518595586926154,5.205145560839922e-07,1082
男胎,孕周_连续值,Y染色体的Z值,0.11262187062521581,0.00020555388968743755,1082
