变量,年龄,身高,体重,BMI_calc,孕周_连续值,检测抽血次数,原始读段数,在参考基因组上比对的比例,重复读段的比例,唯一比对的读段数,GC含量,被过滤掉读段数的比例,13号染色体的Z值,18号染色体的Z值,21号染色体的Z值,X染色体的Z值,Y染色体的Z值,Y染色体浓度,X染色体浓度
年龄,1.0,0.0508564384456416,0.0445198290463318,0.023569287716371106,-0.0003605519820434518,-0.008312549250964212,-0.020105952509150083,0.0031324099384809918,0.04824118717325081,-0.005681399637827348,0.04612223499307144,0.014265151510303026,-0.0506656350587746,-0.025117337376511714,-0.03569076116819596,-0.08706309747949284,-0.09169508103553294,-0.11720094019880417,-0.020601503098962963
身高,0.0508564384456416,1.0,0.6489699696686183,0.061492713868652744,0.02424574866116945,-0.017684288805608805,-0.023501361045485978,0.01998229594332285,-0.03269166851165615,-0.021237065952790776,-0.007966533617890119,0.011556567300220966,-0.023074719226307078,0.029503956683748774,-0.06496801618118908,-0.016662460861078452,-0.043579500713120084,-0.10112886401612818,-0.0243731712135915
体重,0.0445198290463318,0.6489699696686183,1.0,0.7711200338598837,0.1158949870629025,0.11109136656423184,-0.05942730491464794,0.02742651028664948,-0.011333160879018435,-0.0672169693949973,-0.008771889451997023,-0.00453080669899837,-0.010840384477039932,0.06790345884725991,-0.04443469077388563,-0.023359073771496684,-0.009873444080755973,-0.16697018963604288,-0.044950812033337485
BMI_calc,0.023569287716371106,0.061492713868652744,0.7711200338598837,1.0,0.13669461288524368,0.15836617856305835,-0.04595809369026239,0.027433843865743174,-0.004498634598707952,-0.06106691252327262,-0.004585855317982099,-0.006032542291444342,0.004641851988259449,0.07660965124778381,-0.018101634081356458,-0.015187840387114201,0.0037348258888215075,-0.15495247163636766,-0.056196095546472036
孕周_连续值,-0.0003605519820434518,0.02424574866116945,0.1158949870629025,0.13669461288524368,1.0,0.7984754245573237,-0.0666813979517304,-0.010584211963279655,0.031137874152916044,-0.08433040697409723,-0.061106777570820475,0.023637664838612942,0.17061536643477704,0.29610825425408954,0.03824905178246184,0.15185955869261536,0.11262187062521578,0.08428675276902133,0.1409926413894299
检测抽血次数,-0.008312549250964212,-0.017684288805608805,0.11109136656423184,0.15836617856305835,0.7984754245573237,1.0,-0.058642100516375355,-0.061855748914296176,0.03164903030816174,-0.07012331981615481,-0.05817738757907576,0.054868272392022216,0.09479741157061689,0.13952411542152116,0.0789577812667801,0.09213311515908618,0.08945285014572629,0.32299680160021854,0.1623227058955428
原始读段数,-0.020105952509150083,-0.023501361045485978,-0.05942730491464794,-0.04595809369026239,-0.0666813979517304,-0.058642100516375355,1.0,0.03938423187756672,0.012654983793345845,0.5989847991037871,0.03518177638748093,0.21715568522017778,-0.01119283220694832,-0.11842229007724271,-0.06775610640831498,-0.03654739994051072,-0.05956230725066757,-0.0859890689568242,-0.019426097000080727
在参考基因组上比对的比例,0.0031324099384809918,0.01998229594332285,0.02742651028664948,0.027433843865743174,-0.010584211963279655,-0.061855748914296176,0.03938423187756672,1.0,-0.1290474467694687,0.08987196783181235,-0.0382896432750341,-0.1573013178547708,0.01713462243673491,0.022259859517115305,-0.012410909832579878,-0.07302326284179671,-0.042951589988612184,-0.15943210693349452,-0.020252241872622624
重复读段的比例,0.04824118717325081,-0.03269166851165615,-0.011333160879018435,-0.004498634598707952,0.031137874152916044,0.03164903030816174,0.012654983793345845,-0.1290474467694687,1.0,0.046209119904913394,0.019835607533483977,-0.0715054080922675,-0.008121068140740045,0.0026320860040509307,-0.0443109232547283,-0.06516915579079027,-0.014132349448535714,0.10581031965833748,0.08595428311584943
唯一比对的读段数,-0.005681399637827348,-0.021237065952790776,-0.0672169693949973,-0.06106691252327262,-0.08433040697409723,-0.07012331981615481,0.5989847991037871,0.08987196783181235,0.046209119904913394,1.0,-0.009093399699261625,0.15747663414836297,-0.015980290410711223,-0.1269116457306886,-0.016780582638300564,-0.05264036066702627,-0.06759474823039467,-0.06943907987737101,-0.07838310503996296
GC含量,0.04612223499307144,-0.007966533617890119,-0.008771889451997023,-0.004585855317982099,-0.061106777570820475,-0.05817738757907576,0.03518177638748093,-0.0382896432750341,0.019835607533483977,-0.009093399699261625,1.0,-0.025560834060643505,-0.10692025563803931,-0.09753515979840506,-0.03280819691590173,-0.35301319086295696,-0.33051863112410085,-0.016646062308148555,0.03960431010971087
被过滤掉读段数的比例,0.014265151510303026,0.011556567300220966,-0.00453080669899837,-0.006032542291444342,0.023637664838612942,0.054868272392022216,0.21715568522017778,-0.1573013178547708,-0.0715054080922675,0.15747663414836297,-0.025560834060643505,1.0,-0.009065676136687155,-0.028833184987478777,-0.012242593480351857,0.035321644289757134,0.048882324629757085,0.0860377141892331,-0.00011181772166278916
13号染色体的Z值,-0.0506656350587746,-0.023074719226307078,-0.010840384477039932,0.004641851988259449,0.17061536643477704,0.09479741157061689,-0.01119283220694832,0.01713462243673491,-0.008121068140740045,-0.015980290410711223,-0.10692025563803931,-0.009065676136687155,1.0,0.3775266538572607,0.02075414500128247,0.3487109517863176,0.3070416256969525,-0.07664952537197249,-0.1996945382549305
18号染色体的Z值,-0.025117337376511714,0.029503956683748774,0.06790345884725991,0.07660965124778381,0.29610825425408954,0.13952411542152116,-0.11842229007724271,0.022259859517115305,0.0026320860040509307,-0.1269116457306886,-0.09753515979840506,-0.028833184987478777,0.3775266538572607,1.0,-0.001363880638316961,0.30128395325319157,0.215244993329185,-0.178162993178759,-0.18513769639322505
21号染色体的Z值,-0.03569076116819596,-0.06496801618118908,-0.04443469077388563,-0.018101634081356458,0.03824905178246184,0.0789577812667801,-0.06775610640831498,-0.012410909832579878,-0.0443109232547283,-0.016780582638300564,-0.03280819691590173,-0.012242593480351857,0.02075414500128247,-0.001363880638316961,1.0,0.09122328649075336,0.09541858017014473,0.0335354027236243,-0.048796506292777105
X染色体的Z值,-0.08706309747949284,-0.016662460861078452,-0.023359073771496684,-0.015187840387114201,0.15185955869261536,0.09213311515908618,-0.03654739994051072,-0.07302326284179671,-0.06516915579079027,-0.05264036066702627,-0.35301319086295696,0.035321644289757134,0.3487109517863176,0.30128395325319157,0.09122328649075336,1.0,0.5614444822359429,-0.05589144422773659,-0.28268011225311307
Y染色体的Z值,-0.09169508103553294,-0.043579500713120084,-0.009873444080755973,0.0037348258888215075,0.11262187062521578,0.08945285014572629,-0.05956230725066757,-0.042951589988612184,-0.014132349448535714,-0.06759474823039467,-0.33051863112410085,0.048882324629757085,0.3070416256969525,0.215244993329185,0.09541858017014473,0.5614444822359429,1.0,0.11345519028785762,-0.16099153875627006
Y染色体浓度,-0.11720094019880417,-0.10112886401612818,-0.16697018963604288,-0.15495247163636766,0.08428675276902133,0.32299680160021854,-0.0859890689568242,-0.15943210693349452,0.10581031965833748,-0.06943907987737101,-0.016646062308148555,0.0860377141892331,-0.07664952537197249,-0.178162993178759,0.0335354027236243,-0.05589144422773659,0.11345519028785762,1.0,0.4744461549640724
X染色体浓度,-0.020601503098962963,-0.0243731712135915,-0.044950812033337485,-0.056196095546472036,0.1409926413894299,0.1623227058955428,-0.019426097000080727,-0.020252241872622624,0.08595428311584943,-0.07838310503996296,0.03960431010971087,-0.00011181772166278916,-0.1996945382549305,-0.18513769639322505,-0.048796506292777105,-0.28268011225311307,-0.16099153875627006,0.4744461549640724,1.0
