数据集,字段,字段来源,数据类型,非空数量,缺失数量,缺失率,唯一值数量,结构性缺失
男胎,序号,原始字段,int64,1082,0,0.0,1082,0
男胎,孕妇代码,原始字段,object,1082,0,0.0,267,0
男胎,年龄,原始字段,int64,1082,0,0.0,21,0
男胎,身高,原始字段,float64,1082,0,0.0,29,0
男胎,体重,原始字段,float64,1082,0,0.0,513,0
男胎,末次月经,原始字段,object,1070,12,0.011090573012939002,189,0
男胎,IVF妊娠,原始字段,object,1082,0,0.0,3,0
男胎,检测日期,原始字段,object,1082,0,0.0,379,0
男胎,检测抽血次数,原始字段,int64,1082,0,0.0,5,0
男胎,检测孕周,原始字段,object,1082,0,0.0,108,0
男胎,孕妇BMI,原始字段,float64,1082,0,0.0,783,0
男胎,原始读段数,原始字段,int64,1082,0,0.0,1082,0
男胎,在参考基因组上比对的比例,原始字段,float64,1082,0,0.0,1080,0
男胎,重复读段的比例,原始字段,float64,1082,0,0.0,1082,0
男胎,唯一比对的读段数,原始字段,int64,1082,0,0.0,1082,0
男胎,GC含量,原始字段,float64,1082,0,0.0,1080,0
男胎,13号染色体的Z值,原始字段,float64,1082,0,0.0,1082,0
男胎,18号染色体的Z值,原始字段,float64,1082,0,0.0,1082,0
男胎,21号染色体的Z值,原始字段,float64,1082,0,0.0,1082,0
男胎,X染色体的Z值,原始字段,float64,1082,0,0.0,1082,0
男胎,Y染色体的Z值,原始字段,float64,1082,0,0.0,1082,0
男胎,Y染色体浓度,原始字段,float64,1082,0,0.0,1082,0
男胎,X染色体浓度,原始字段,float64,1082,0,0.0,1082,0
男胎,13号染色体的GC含量,原始字段,float64,1082,0,0.0,1081,0
男胎,18号染色体的GC含量,原始字段,float64,1082,0,0.0,1082,0
男胎,21号染色体的GC含量,原始字段,float64,1082,0,0.0,1082,0
男胎,被过滤掉读段数的比例,原始字段,float64,1082,0,0.0,1082,0
男胎,染色体的非整倍体,原始字段,object,126,956,0.8835489833641405,5,0
男胎,怀孕次数,原始字段,object,1082,0,0.0,3,0
男胎,生产次数,原始字段,int64,1082,0,0.0,4,0
男胎,胎儿是否健康,原始字段,object,1082,0,0.0,2,0
男胎,检测日期_日期,分析字段,datetime64[ns],1082,0,0.0,308,0
男胎,末次月经_日期,分析字段,datetime64[ns],1070,12,0.011090573012939002,158,0
男胎,孕周_连续值,分析字段,float64,1082,0,0.0,100,0
男胎,孕周解析失败,分析字段,boolean,1082,0,0.0,1,0
男胎,BMI_calc,分析字段,float64,1082,0,0.0,778,0
男胎,measurement_BMI,分析字段,float64,1082,0,0.0,778,0
男胎,BMI_diff,分析字段,float64,1082,0,0.0,749,0
男胎,baseline_BMI,分析字段,float64,1082,0,0.0,237,0
男胎,Y相关字段_结构性缺失,分析字段,boolean,1082,0,0.0,1,0
男胎,abnormal_any,分析字段,Int64,1082,0,0.0,2,0
男胎,abnormal_T13,分析字段,Int64,1082,0,0.0,2,0
男胎,abnormal_T18,分析字段,Int64,1082,0,0.0,2,0
男胎,abnormal_T21,分析字段,Int64,1082,0,0.0,2,0
男胎,异常类型_分类,分析字段,object,1082,0,0.0,5,0
男胎,孕妇记录数,分析字段,Int64,1082,0,0.0,8,0
男胎,孕妇不同孕周数,分析字段,Int64,1082,0,0.0,5,0
男胎,孕妇检测日期数,分析字段,Int64,1082,0,0.0,7,0
男胎,孕妇检测抽血次数数,分析字段,Int64,1082,0,0.0,5,0
男胎,同次采血检测次数,分析字段,Int64,1082,0,0.0,3,0
男胎,同孕周检测次数,分析字段,Int64,1082,0,0.0,3,0
男胎,是否重复测量,分析字段,boolean,1082,0,0.0,2,0
男胎,同次采血重复测量,分析字段,boolean,1082,0,0.0,2,0
男胎,Y_pass,分析字段,Int64,1082,0,0.0,2,0
男胎,GC_range_flag,分析字段,boolean,1082,0,0.0,2,0
男胎,GC_abnormal,分析字段,boolean,1082,0,0.0,2,0
男胎,孕周异常,分析字段,boolean,1082,0,0.0,1,0
男胎,比例变量超界,分析字段,boolean,1082,0,0.0,1,0
男胎,outlier_BMI,分析字段,boolean,1082,0,0.0,2,0
男胎,outlier_GC,分析字段,boolean,1082,0,0.0,2,0
男胎,outlier_Y,分析字段,boolean,1082,0,0.0,2,0
男胎,outlier_reads,分析字段,boolean,1082,0,0.0,2,0
女胎,序号,原始字段,int64,605,0,0.0,605,0
女胎,孕妇代码,原始字段,object,605,0,0.0,147,0
女胎,年龄,原始字段,int64,605,0,0.0,24,0
女胎,身高,原始字段,float64,605,0,0.0,29,0
女胎,体重,原始字段,float64,605,0,0.0,135,0
女胎,末次月经,原始字段,object,605,0,0.0,121,0
女胎,IVF妊娠,原始字段,object,605,0,0.0,2,0
女胎,检测日期,原始字段,int64,605,0,0.0,229,0
女胎,检测抽血次数,原始字段,int64,605,0,0.0,5,0
女胎,检测孕周,原始字段,object,605,0,0.0,91,0
女胎,孕妇BMI,原始字段,float64,604,1,0.001652892561983471,362,0
女胎,原始读段数,原始字段,int64,605,0,0.0,605,0
女胎,在参考基因组上比对的比例,原始字段,float64,605,0,0.0,605,0
女胎,重复读段的比例,原始字段,float64,605,0,0.0,605,0
女胎,唯一比对的读段数,原始字段,int64,605,0,0.0,605,0
女胎,GC含量,原始字段,float64,605,0,0.0,604,0
女胎,13号染色体的Z值,原始字段,float64,605,0,0.0,605,0
女胎,18号染色体的Z值,原始字段,float64,605,0,0.0,605,0
女胎,21号染色体的Z值,原始字段,float64,605,0,0.0,605,0
女胎,X染色体的Z值,原始字段,float64,605,0,0.0,605,0
女胎,Unnamed: 20,原始字段,float64,0,605,1.0,0,0
女胎,Unnamed: 21,原始字段,float64,0,605,1.0,0,0
女胎,X染色体浓度,原始字段,float64,605,0,0.0,605,0
女胎,13号染色体的GC含量,原始字段,float64,605,0,0.0,605,0
女胎,18号染色体的GC含量,原始字段,float64,605,0,0.0,603,0
女胎,21号染色体的GC含量,原始字段,float64,605,0,0.0,605,0
女胎,被过滤掉读段数的比例,原始字段,float64,605,0,0.0,605,0
女胎,染色体的非整倍体,原始字段,object,67,538,0.8892561983471075,6,0
