数据集,标志,标记行数,标记比例,下界,上界,规则
男胎,outlier_BMI,26,0.024029574861367836,24.633325700961088,39.500421973474936,BMI_calc 按本数据集 IQR 的 1.5 倍规则，仅标记
男胎,outlier_GC,26,0.024029574861367836,0.39289636249999993,0.40835666250000013,GC含量按本数据集 IQR 的 1.5 倍规则，仅标记
男胎,outlier_Y,10,0.009242144177449169,-0.019952336374999997,0.170270608625,Y染色体浓度按本数据集 IQR 的 1.5 倍规则，仅标记
男胎,outlier_reads,20,0.018484288354898338,2291408.5,7011410.5,原始读段数按本数据集 IQR 的 1.5 倍规则，仅标记
男胎,GC_range_flag,451,0.4168207024029575,,,GC含量不在题面经验区间 0.40 至 0.60 内的记录标记，不等于测序失败
男胎,孕周异常,0,0.0,,,孕周解析失败或不在 8 至 42 周内，仅标记
男胎,比例变量超界,0,0.0,,,比例变量不在 0 至 1 内，仅标记
女胎,outlier_BMI,23,0.03801652892561983,25.18919205083428,38.31209030583162,BMI_calc 按本数据集 IQR 的 1.5 倍规则，仅标记
女胎,outlier_GC,25,0.04132231404958678,0.39303325000000006,0.40902164999999996,GC含量按本数据集 IQR 的 1.5 倍规则，仅标记
女胎,outlier_Y,0,0.0,,,Y染色体浓度按本数据集 IQR 的 1.5 倍规则，仅标记
女胎,outlier_reads,18,0.02975206611570248,2435389.5,6867393.5,原始读段数按本数据集 IQR 的 1.5 倍规则，仅标记
女胎,GC_range_flag,220,0.36363636363636365,,,GC含量不在题面经验区间 0.40 至 0.60 内的记录标记，不等于测序失败
女胎,孕周异常,0,0.0,,,孕周解析失败或不在 8 至 42 周内，仅标记
女胎,比例变量超界,0,0.0,,,比例变量不在 0 至 1 内，仅标记
