BMI组,孕周整周,达标率,样本数
28≤BMI＜32,11,0.8857142857142857,35
28≤BMI＜32,12,0.8333333333333334,78
28≤BMI＜32,13,0.9090909090909091,77
28≤BMI＜32,14,0.9736842105263158,38
28≤BMI＜32,15,0.9,50
28≤BMI＜32,16,0.8142857142857143,70
28≤BMI＜32,17,0.9473684210526315,19
28≤BMI＜32,18,1.0,6
28≤BMI＜32,19,0.8108108108108109,37
28≤BMI＜32,20,0.925,40
28≤BMI＜32,21,0.9166666666666666,12
28≤BMI＜32,22,0.6666666666666666,3
28≤BMI＜32,23,1.0,37
28≤BMI＜32,24,1.0,32
28≤BMI＜32,26,1.0,4
28≤BMI＜32,27,1.0,1
32≤BMI＜36,11,0.8421052631578947,19
32≤BMI＜36,12,0.8627450980392157,51
32≤BMI＜36,13,0.9076923076923077,65
32≤BMI＜36,14,1.0,38
32≤BMI＜36,15,0.9777777777777777,45
32≤BMI＜36,16,0.7966101694915254,59
32≤BMI＜36,17,0.8181818181818182,22
32≤BMI＜36,18,0.6666666666666666,3
32≤BMI＜36,19,1.0,13
32≤BMI＜36,20,0.75,32
32≤BMI＜36,21,0.875,8
32≤BMI＜36,22,0.0,1
32≤BMI＜36,23,0.8888888888888888,36
32≤BMI＜36,24,0.9473684210526315,19
32≤BMI＜36,27,1.0,1
32≤BMI＜36,29,1.0,1
36≤BMI＜40,11,0.5,2
36≤BMI＜40,12,0.5714285714285714,7
36≤BMI＜40,13,0.4444444444444444,9
36≤BMI＜40,14,1.0,1
36≤BMI＜40,15,0.75,4
36≤BMI＜40,16,0.5833333333333334,12
36≤BMI＜40,17,0.6666666666666666,6
36≤BMI＜40,18,1.0,1
36≤BMI＜40,19,0.7142857142857143,7
36≤BMI＜40,20,0.45454545454545453,11
36≤BMI＜40,21,0.75,4
36≤BMI＜40,22,1.0,2
36≤BMI＜40,23,0.8461538461538461,13
36≤BMI＜40,24,0.6363636363636364,11
36≤BMI＜40,25,1.0,1
36≤BMI＜40,26,1.0,2
BMI≥40,12,0.5,2
BMI≥40,13,0.0,1
BMI≥40,15,0.3333333333333333,3
BMI≥40,16,1.0,1
BMI≥40,19,0.5,2
BMI≥40,20,1.0,2
BMI≥40,22,1.0,1
BMI≥40,23,1.0,4
BMI≥40,24,1.0,2
BMI＜28,12,1.0,3
BMI＜28,13,0.5,2
BMI＜28,16,0.8333333333333334,6
BMI＜28,19,0.0,1
BMI＜28,20,1.0,3
BMI＜28,23,1.0,1
BMI＜28,25,1.0,3
