BMI组,删失类型,孕妇数,孕妇比例,分组孕妇数,分组依据
等频组1（20.7–29.4）,left,46,0.8518518518518519,54,baseline_BMI（孕妇级）
等频组1（20.7–29.4）,interval,8,0.14814814814814814,54,baseline_BMI（孕妇级）
等频组1（20.7–29.4）,right,0,0.0,54,baseline_BMI（孕妇级）
等频组4（32.2–33.9）,left,47,0.8867924528301887,53,baseline_BMI（孕妇级）
等频组4（32.2–33.9）,interval,4,0.07547169811320754,53,baseline_BMI（孕妇级）
等频组4（32.2–33.9）,right,2,0.03773584905660377,53,baseline_BMI（孕妇级）
等频组3（30.5–32.2）,left,42,0.8076923076923077,52,baseline_BMI（孕妇级）
等频组3（30.5–32.2）,interval,9,0.17307692307692307,52,baseline_BMI（孕妇级）
等频组3（30.5–32.2）,right,1,0.019230769230769232,52,baseline_BMI（孕妇级）
等频组2（29.4–30.5）,left,45,0.8333333333333334,54,baseline_BMI（孕妇级）
等频组2（29.4–30.5）,interval,8,0.14814814814814814,54,baseline_BMI（孕妇级）
等频组2（29.4–30.5）,right,1,0.018518518518518517,54,baseline_BMI（孕妇级）
等频组5（33.9–46.9）,left,37,0.6851851851851852,54,baseline_BMI（孕妇级）
等频组5（33.9–46.9）,interval,14,0.25925925925925924,54,baseline_BMI（孕妇级）
等频组5（33.9–46.9）,right,3,0.05555555555555555,54,baseline_BMI（孕妇级）
