BMI组,孕周分箱,达标率,记录数,孕妇数,是否显示,达标率原值
等频组1（20.7–29.4）,10–<12,0.8333333333333334,12,12,True,0.8333333333333334
等频组1（20.7–29.4）,12–<14,0.8518518518518519,54,46,True,0.8518518518518519
等频组1（20.7–29.4）,14–<16,0.9642857142857143,28,22,True,0.9642857142857143
等频组1（20.7–29.4）,16–<18,0.8461538461538461,39,37,True,0.8461538461538461
等频组1（20.7–29.4）,18–<20,0.9230769230769231,13,13,True,0.9230769230769231
等频组1（20.7–29.4）,20–<22,0.92,25,23,True,0.92
等频组1（20.7–29.4）,22–<24,0.95,20,17,True,0.95
等频组1（20.7–29.4）,24–<26,1.0,19,16,True,1.0
等频组1（20.7–29.4）,26–<28,1.0,1,1,False,1.0
等频组1（20.7–29.4）,28–<30,1.0,1,1,False,1.0
等频组2（29.4–30.5）,10–<12,0.8333333333333334,12,12,True,0.8333333333333334
等频组2（29.4–30.5）,12–<14,0.8867924528301887,53,47,True,0.8867924528301887
等频组2（29.4–30.5）,14–<16,0.8888888888888888,36,26,True,0.8888888888888888
等频组2（29.4–30.5）,16–<18,0.8055555555555556,36,34,True,0.8055555555555556
等频组2（29.4–30.5）,18–<20,0.7619047619047619,21,15,True,0.7619047619047619
等频组2（29.4–30.5）,20–<22,0.9166666666666666,24,22,True,0.9166666666666666
等频组2（29.4–30.5）,22–<24,0.9523809523809523,21,21,True,0.9523809523809523
等频组2（29.4–30.5）,24–<26,1.0,11,11,True,1.0
等频组2（29.4–30.5）,26–<28,1.0,4,3,False,1.0
等频组2（29.4–30.5）,28–<30,,0,0,False,
等频组3（30.5–32.2）,10–<12,1.0,11,10,True,1.0
等频组3（30.5–32.2）,12–<14,0.8461538461538461,65,47,True,0.8461538461538461
等频组3（30.5–32.2）,14–<16,0.972972972972973,37,25,True,0.972972972972973
等频组3（30.5–32.2）,16–<18,0.7857142857142857,42,37,True,0.7857142857142857
等频组3（30.5–32.2）,18–<20,0.8461538461538461,13,12,True,0.8461538461538461
等频组3（30.5–32.2）,20–<22,0.8333333333333334,18,15,True,0.8333333333333334
等频组3（30.5–32.2）,22–<24,0.9411764705882353,17,17,True,0.9411764705882353
等频组3（30.5–32.2）,24–<26,1.0,10,8,True,1.0
等频组3（30.5–32.2）,26–<28,1.0,1,1,False,1.0
等频组3（30.5–32.2）,28–<30,,0,0,False,
等频组4（32.2–33.9）,10–<12,0.8333333333333334,12,12,True,0.8333333333333334
等频组4（32.2–33.9）,12–<14,0.9411764705882353,68,48,True,0.9411764705882353
等频组4（32.2–33.9）,14–<16,1.0,51,34,True,1.0
等频组4（32.2–33.9）,16–<18,0.875,40,35,True,0.875
等频组4（32.2–33.9）,18–<20,0.9090909090909091,11,11,True,0.9090909090909091
等频组4（32.2–33.9）,20–<22,0.7142857142857143,14,12,True,0.7142857142857143
等频组4（32.2–33.9）,22–<24,0.9375,16,10,True,0.9375
等频组4（32.2–33.9）,24–<26,0.7272727272727273,11,8,True,0.7272727272727273
等频组4（32.2–33.9）,26–<28,,0,0,False,
等频组4（32.2–33.9）,28–<30,,0,0,False,
等频组5（33.9–46.9）,10–<12,0.7777777777777778,9,9,True,0.7777777777777778
等频组5（33.9–46.9）,12–<14,0.7090909090909091,55,47,True,0.7090909090909091
等频组5（33.9–46.9）,14–<16,0.8518518518518519,27,23,True,0.8518518518518519
等频组5（33.9–46.9）,16–<18,0.7105263157894737,38,37,True,0.7105263157894737
等频组5（33.9–46.9）,18–<20,0.75,12,12,True,0.75
等频组5（33.9–46.9）,20–<22,0.7096774193548387,31,26,True,0.7096774193548387
等频组5（33.9–46.9）,22–<24,0.8333333333333334,24,21,True,0.8333333333333334
等频组5（33.9–46.9）,24–<26,0.8823529411764706,17,15,True,0.8823529411764706
等频组5（33.9–46.9）,26–<28,1.0,2,2,False,1.0
等频组5（33.9–46.9）,28–<30,,0,0,False,
