组,q,推荐孕周,10周达标比例,25周达标比例,可行
1,0.9,13.3538159122345,0.7712399230483005,0.9928582284040505,True
1,0.95,16.22925643400267,0.7712399230483005,0.9928582284040505,True
1,0.975,19.21946045085308,0.7712399230483005,0.9928582284040505,True
2,0.9,14.250016605528872,0.7324890522339752,0.9901220488825905,True
2,0.95,17.311365392871586,0.7324890522339752,0.9901220488825905,True
2,0.975,20.494449046137195,0.7324890522339752,0.9901220488825905,True
3,0.9,15.307682564876938,0.6868082714783132,0.9859949094584602,True
3,0.95,18.596828188414328,0.6868082714783132,0.9859949094584602,True
3,0.975,22.016866194828637,0.6868082714783132,0.9859949094584602,True
4,0.9,16.399822221611668,0.6399536049085627,0.9806976195251853,True
4,0.95,19.924279135718205,0.6399536049085627,0.9806976195251853,True
4,0.975,23.589117389425894,0.6399536049085627,0.9806976195251853,True
5,0.9,19.243580657370895,0.5340744005216974,0.9605649909558079,True
5,0.95,23.498894867643283,0.5340744005216974,0.9605649909558079,True
5,0.975,,0.5340744005216974,0.9605649909558079,False
