类别,模型变量,论文名称,源字段,变换,缺失数
Z值,Z13,Z13,13号染色体的Z值,原值,0
Z值,Z18,Z18,18号染色体的Z值,原值,0
Z值,Z21,Z21,21号染色体的Z值,原值,0
Z值,ZX,ZX,X染色体的Z值,原值,0
性染色体,CX,X染色体浓度,X染色体浓度,原值,0
GC,GC,总体GC,GC含量,原值,0
GC,GC13,GC13,13号染色体的GC含量,原值,0
GC,GC18,GC18,18号染色体的GC含量,原值,0
GC,GC21,GC21,21号染色体的GC含量,原值,0
测序质量,Reads_log,log(1+原始读段数),原始读段数,log(1+x),0
测序质量,Map,比对比例,在参考基因组上比对的比例,原值,0
测序质量,Duplicate,重复读段比例,重复读段的比例,原值,0
测序质量,Unique_log,log(1+唯一比对读段数),唯一比对的读段数,log(1+x),0
测序质量,Filter,过滤读段比例,被过滤掉读段数的比例,原值,0
孕妇因素,GW,检测孕周,孕周_连续值,原值,0
孕妇因素,BMI,检测时BMI,measurement_BMI,原值,0
