task,feature,feature_label,direction_for_exploration,ROC_AUC_oriented,PR_AUC_oriented,positive_rate
T13,Z13,Z13,-,0.5794860301807859,0.057742771217684626,0.03801652892561983
T13,Z18,Z18,-,0.5365307037203048,0.04334275450340422,0.03801652892561983
T13,Z21,Z21,+,0.6270730614074406,0.0736018069124852,0.03801652892561983
T13,ZX,ZX,-,0.611534438966084,0.09388237550936125,0.03801652892561983
T13,CX,X染色体浓度,-,0.7642312864186463,0.15665521474098598,0.03801652892561983
T13,GC,总体GC,+,0.5687285223367697,0.05076542777451305,0.03801652892561983
T13,GC13,GC13,+,0.5308531301359629,0.23707800660715128,0.03801652892561983
T13,GC18,GC18,+,0.5232332287464515,0.21914689390909847,0.03801652892561983
T13,GC21,GC21,+,0.5118780815777678,0.2017681555041854,0.03801652892561983
T13,Reads_log,log(1+原始读段数),-,0.5408635888241446,0.05421582667133103,0.03801652892561983
T13,Map,比对比例,+,0.5396683101748094,0.045291111213898824,0.03801652892561983
T13,Duplicate,重复读段比例,+,0.5304796055580457,0.04265763126544052,0.03801652892561983
T13,Unique_log,log(1+唯一比对读段数),-,0.5357836545644704,0.052785759648099076,0.03801652892561983
T13,Filter,过滤读段比例,+,0.5240549828178694,0.1541289625107119,0.03801652892561983
T13,GW,检测孕周,+,0.500410877035709,0.048076771300752844,0.03801652892561983
T13,BMI,检测时BMI,-,0.5143806962498132,0.08043897019602765,0.03801652892561983
T18,Z13,Z13,-,0.5003888932099245,0.0811681790245353,0.07603305785123966
T18,Z18,Z18,+,0.5449949443882709,0.08141148492239715,0.07603305785123966
T18,Z21,Z21,+,0.5360892898809988,0.08697239156034138,0.07603305785123966
T18,ZX,ZX,-,0.5505950066111844,0.11060255333547267,0.07603305785123966
T18,CX,X染色体浓度,-,0.8062922921365793,0.35720162029991337,0.07603305785123966
T18,GC,总体GC,-,0.5385782064245158,0.1080149265187336,0.07603305785123966
T18,GC13,GC13,+,0.6281014233491483,0.31255230454483146,0.07603305785123966
T18,GC18,GC18,+,0.6102512250136112,0.27560237336956,0.07603305785123966
T18,GC21,GC21,+,0.5637395971066346,0.21756435666493362,0.07603305785123966
T18,Reads_log,log(1+原始读段数),-,0.5255502838920432,0.09026109060557079,0.07603305785123966
T18,Map,比对比例,+,0.5266780742008245,0.08469840846542823,0.07603305785123966
T18,Duplicate,重复读段比例,-,0.5294003266702964,0.0974577117880373,0.07603305785123966
T18,Unique_log,log(1+唯一比对读段数),-,0.5217002411137901,0.09456064448912407,0.07603305785123966
T18,Filter,过滤读段比例,-,0.5225558061756242,0.11124786870025019,0.07603305785123966
T18,GW,检测孕周,+,0.5576145290503227,0.10266629183272254,0.07603305785123966
T18,BMI,检测时BMI,-,0.5140584895387726,0.11811596226948391,0.07603305785123966
T21,Z13,Z13,-,0.603950103950104,0.0734686297437456,0.021487603305785124
T21,Z18,Z18,-,0.5395010395010394,0.052722548933622666,0.021487603305785124
T21,Z21,Z21,+,0.5097453222453223,0.02399641523623151,0.021487603305785124
T21,ZX,ZX,-,0.5369022869022869,0.028876269091672135,0.021487603305785124
T21,CX,X染色体浓度,-,0.5787422037422038,0.04263036852086973,0.021487603305785124
T21,GC,总体GC,+,0.5110446985446986,0.02534553632304546,0.021487603305785124
T21,GC13,GC13,-,0.5908264033264033,0.18043789801050078,0.021487603305785124
T21,GC18,GC18,-,0.5710758835758836,0.1785288234348178,0.021487603305785124
T21,GC21,GC21,-,0.6081081081081081,0.18092237474691855,0.021487603305785124
T21,Reads_log,log(1+原始读段数),+,0.5012993762993763,0.02500191806385831,0.021487603305785124
T21,Map,比对比例,-,0.6152546777546777,0.03228875014414937,0.021487603305785124
T21,Duplicate,重复读段比例,-,0.5497661122661123,0.07120756104078002,0.021487603305785124
T21,Unique_log,log(1+唯一比对读段数),+,0.5016891891891893,0.025017996027168594,0.021487603305785124
T21,Filter,过滤读段比例,-,0.5135135135135136,0.03906049610716554,0.021487603305785124
T21,GW,检测孕周,+,0.6494282744282744,0.04020589833392981,0.021487603305785124
T21,BMI,检测时BMI,-,0.6175285862785862,0.05565015123147525,0.021487603305785124
