task,model,fold,n,positive,Sensitivity,Precision,Specificity,F1,PR_AUC,ROC_AUC,Brier,TP,FP,TN,FN
T13,M0,1,122,6,0.8333333333333334,0.049019607843137254,0.16379310344827586,0.09259259259259259,0.10363956871648713,0.514367816091954,0.047093581191768374,5,97,19,1
T13,M0,2,121,4,0.0,0.0,0.9743589743589743,0.0,0.041877413163179854,0.532051282051282,0.03200484826525145,0,3,114,4
T13,M0,3,120,4,0.0,0.0,0.9224137931034483,0.0,0.05155708593208593,0.5581896551724137,0.0323056520502935,0,9,107,4
T13,M0,4,121,5,0.0,0.0,0.47413793103448276,0.0,0.03194495242783335,0.2396551724137931,0.03981932861967681,0,61,55,5
T13,M0,5,121,4,0.75,0.03225806451612903,0.23076923076923078,0.061855670103092786,0.06424424199653557,0.49786324786324787,0.03204268023260762,3,90,27,1
T13,M1,1,122,6,0.3333333333333333,0.1111111111111111,0.8620689655172413,0.16666666666666666,0.08456510809451986,0.6235632183908046,0.04678812851417717,2,16,100,4
T13,M1,2,121,4,0.25,0.5,0.9914529914529915,0.3333333333333333,0.4015151515151515,0.9102564102564102,0.029107702736537313,1,1,116,3
T13,M1,3,120,4,0.0,0.0,0.9913793103448276,0.0,0.13329457364341085,0.7456896551724137,0.03197137508603472,0,1,115,4
T13,M1,4,121,5,0.0,0.0,0.9655172413793104,0.0,0.05300286880774686,0.5379310344827587,0.042452918892691704,0,4,112,5
T13,M1,5,121,4,0.5,0.16666666666666666,0.9145299145299145,0.25,0.4417186417186417,0.7158119658119658,0.029183247228612225,2,10,107,2
T13,M2,1,122,6,0.3333333333333333,0.18181818181818182,0.9224137931034483,0.23529411764705885,0.21194844670454424,0.7514367816091954,0.04537737558335117,2,9,107,4
T13,M2,2,121,4,0.25,0.5,0.9914529914529915,0.3333333333333333,0.40535714285714286,0.8611111111111112,0.026210247787566168,1,1,116,3
T13,M2,3,120,4,0.25,0.25,0.9741379310344828,0.25,0.30493775480489227,0.6616379310344828,0.02628540516537636,1,3,113,3
T13,M2,4,121,5,0.2,1.0,1.0,0.33333333333333337,0.4410246639144702,0.7206896551724138,0.03085774225367151,1,0,116,4
T13,M2,5,121,4,0.5,0.3333333333333333,0.9658119658119658,0.4,0.37085133967156436,0.6517094017094016,0.02908093321283461,2,4,113,2
T18,M0,1,122,13,0.9230769230769231,0.13186813186813187,0.27522935779816515,0.23076923076923078,0.11221655562384283,0.5172900494001411,0.0966694994745992,12,79,30,1
T18,M0,2,121,8,0.75,0.075,0.34513274336283184,0.13636363636363635,0.06533597857707464,0.46349557522123896,0.06187385957220941,6,74,39,2
T18,M0,3,120,7,0.5714285714285714,0.04819277108433735,0.3008849557522124,0.08888888888888889,0.057246791710068544,0.37041719342604296,0.055441654046573544,4,79,34,3
T18,M0,4,121,8,1.0,0.09523809523809523,0.3274336283185841,0.17391304347826084,0.11920568595408904,0.706858407079646,0.06294863368389064,8,76,37,0
T18,M0,5,121,10,0.5,0.07462686567164178,0.44144144144144143,0.12987012987012986,0.0851760811528972,0.4693693693693694,0.07586178305652862,5,62,49,5
