outer_fold,task,model,C,lambda,inner_PR_AUC,threshold,inner_or_train_F1_at_threshold,threshold_F2,inner_or_train_F2_at_threshold
1,T13,M0,,,,0.306403526,0.07518796992481203,0.306403526,0.16666666666666666
1,T13,M1,0.01,100.0,0.1320018483729342,0.042506568207561386,0.1917808219178082,0.042506568207561386,0.28225806451612906
1,T13,M2,0.1,10.0,0.24729298218185322,0.10268603364377378,0.3225806451612903,0.07862339632604896,0.3191489361702128
1,T18,M0,,,,0.518138803,0.14794520547945206,0.518138803,0.29094827586206895
1,T18,M1,100.0,0.01,0.4104129410245797,0.16619030580204255,0.4691358024691358,0.16619030580204255,0.5277777777777778
1,T18,M2,1000.0,0.001,0.5584571944678587,0.3651253100785423,0.5517241379310345,0.08108280798439181,0.6018518518518519
1,T21,M0,,,,1.96968917,0.0851063829787234,1.96968917,0.125
1,T21,M1,100.0,0.01,0.02133523987517973,0.005208894000480785,0.04672897196261682,0.0028315479302822018,0.10912698412698413
1,T21,M2,0.01,100.0,0.2084945516529227,0.2313574696171992,0.3076923076923077,0.029783243463723373,0.22058823529411764
2,T13,M0,,,,2.807104139,0.09523809523809523,0.040372045,0.1736745886654479
2,T13,M1,0.1,10.0,0.21865953553102258,0.09441923645279941,0.3333333333333333,0.07925891237551178,0.30927835051546393
2,T13,M2,1000.0,0.001,0.334184635047115,0.4495311673057124,0.3870967741935484,0.13145096721662614,0.41284403669724773
2,T18,M0,,,,0.533570202,0.17066666666666666,0.533570202,0.32719836400818
2,T18,M1,0.01,100.0,0.31388168493875823,0.09235617861213669,0.34234234234234234,0.0847394349749186,0.46325878594249204
2,T18,M2,10000.0,0.0001,0.5110150382338154,0.4952820733223762,0.5517241379310345,0.050398999191157354,0.5052264808362369
2,T21,M0,,,,1.96968917,0.07407407407407407,0.336054399,0.1187648456057007
2,T21,M1,0.1,10.0,0.024302730192117566,0.0246792128426025,0.06451612903225806,0.0246792128426025,0.13297872340425532
2,T21,M2,0.1,10.0,0.22797505437693685,0.7626274989651183,0.3076923076923077,0.04650374906341463,0.2631578947368421
3,T13,M0,,,,2.807104139,0.1111111111111111,0.306403526,0.18478260869565216
3,T13,M1,0.01,100.0,0.15958164515741732,0.052935375758383585,0.1951219512195122,0.03492675321946185,0.21144278606965175
3,T13,M2,0.1,10.0,0.2043993247712635,0.10364089865537497,0.3,0.07554305351021214,0.34782608695652173
3,T18,M0,,,,0.518138803,0.18469656992084432,0.518138803,0.3528225806451613
3,T18,M1,1.0,1.0,0.3481146216489358,0.17354588504199592,0.3956043956043956,0.11140240641719151,0.5075187969924813
3,T18,M2,10.0,0.1,0.5636593556862514,0.23601686671851577,0.5925925925925926,0.23601686671851577,0.6060606060606061
3,T21,M0,,,,1.015212121,0.042328042328042326,0.201689704,0.09846827133479212
3,T21,M1,0.1,10.0,0.02565146171850364,0.024978769040263964,0.10526315789473684,0.024978769040263964,0.10869565217391304
3,T21,M2,0.01,100.0,0.017995930581770972,0.02137165106377336,0.05128205128205128,0.014240994845874705,0.09018036072144289
4,T13,M0,,,,0.885730833,0.0933852140077821,0.885730833,0.19292604501607716
4,T13,M1,100.0,0.01,0.2754473142310382,0.14512105516576998,0.3333333333333333,0.0787555153010306,0.36585365853658536
4,T13,M2,1000.0,0.001,0.3548869776218151,0.7152982003863944,0.4444444444444444,0.0616175022560146,0.3813559322033898
4,T18,M0,,,,0.518138803,0.16445623342175067,0.518138803,0.31568228105906315
4,T18,M1,100.0,0.01,0.32543559156050444,0.18143659534888265,0.37777777777777777,0.07170419426746712,0.4470198675496689
4,T18,M2,100.0,0.01,0.4364677243019512,0.1453023090388754,0.4117647058823529,0.06142820290200052,0.4981549815498155
4,T21,M0,,,,2.394334961,0.08,0.26472061,0.125
4,T21,M1,0.01,100.0,0.02543095409505209,0.027513673065190453,0.07692307692307693,0.01992473177691972,0.11293634496919917
4,T21,M2,1.0,1.0,0.038879339428622206,0.02956755045339281,0.10434782608695652,0.02956755045339281,0.20270270270270271
5,T13,M0,,,,0.306403526,0.08292682926829269,0.306403526,0.18201284796573874
5,T13,M1,0.1,10.0,0.07098983356328756,0.06304231026311036,0.14814814814814814,0.06304231026311036,0.21739130434782608
5,T13,M2,0.1,10.0,0.2891768353177347,0.09783059598414143,0.3902439024390244,0.09783059598414143,0.40816326530612246
5,T18,M0,,,,0.747832911,0.16718266253869968,0.518138803,0.3202479338842975
5,T18,M1,10.0,0.1,0.3287776381929879,0.23392806698640178,0.36923076923076925,0.07455982286100797,0.4878048780487805
5,T18,M2,10.0,0.1,0.5007935788354863,0.12248446332547722,0.45045045045045046,0.12248446332547722,0.5707762557077626
5,T21,M0,,,,2.394334961,0.07142857142857142,1.96968917,0.11494252873563218
5,T21,M1,0.01,100.0,0.017997320888924643,0.0209368030490595,0.04291845493562232,0.017727349377680755,0.09671179883945841
5,T21,M2,10000.0,0.0001,0.25126810485209544,0.99999996885968,0.3333333333333333,0.02542066184224244,0.29069767441860467
