task,model,feature,feature_label,standardized_beta,OR_per_1SD
T13,M1,intercept,截距,-3.7667153534252376,
T13,M1,Z13,Z13,-0.17653546562988662,0.838169052434653
T13,M1,Z18,Z18,0.13580056121073006,1.1454534229688245
T13,M1,Z21,Z21,0.37803041024253126,1.4594073231316345
T13,M1,ZX,ZX,-0.39191154653015337,0.6757638849775335
T13,M1,CX,X染色体浓度,-0.9417476720478003,0.38994574222074074
T13,M2,intercept,截距,-4.59309561909264,
T13,M2,Z13,Z13,-0.0831692428266458,0.9201953975705897
T13,M2,Z18,Z18,-0.1695060828017519,0.8440816200835893
T13,M2,Z21,Z21,0.7385540145991617,2.0929070124518616
T13,M2,ZX,ZX,-0.4553666540512887,0.634215387671304
T13,M2,CX,X染色体浓度,-0.803585491855496,0.44772078355795336
T13,M2,GC,总体GC,0.2683959133620418,1.3078648386916445
T13,M2,GC13,GC13,3.7098297453127174,40.84685156700978
T13,M2,GC18,GC18,-0.7264486127861746,0.48362347811929196
T13,M2,GC21,GC21,-2.702944518275961,0.0670079159357094
T13,M2,Reads_log,log(1+原始读段数),-0.725386618935099,0.48413735609862024
T13,M2,Map,比对比例,0.3117912034681877,1.3658694744450182
T13,M2,Duplicate,重复读段比例,0.1152751741600052,1.122182190631238
T13,M2,Unique_log,log(1+唯一比对读段数),0.35426700899883423,1.4251356597284444
T13,M2,Filter,过滤读段比例,0.5316284445979423,1.7017011796234238
T13,M2,GW,检测孕周,0.19990678194853,1.221288906681583
T13,M2,BMI,检测时BMI,-0.15992128293537486,0.8522108698640883
T18,M1,intercept,截距,-3.234493906514796,
T18,M1,Z13,Z13,0.07823196702509304,1.0813734725661275
T18,M1,Z18,Z18,0.3076758002171512,1.360259921472866
T18,M1,Z21,Z21,0.14154378518032498,1.1520509459149124
T18,M1,ZX,ZX,-0.3761905485219681,0.6864715144466008
T18,M1,CX,X染色体浓度,-1.4089668295878799,0.2443956551190836
T18,M2,intercept,截距,-3.7737297009853314,
T18,M2,Z13,Z13,0.17087144555169223,1.186338230161748
T18,M2,Z18,Z18,0.3588961733384518,1.4317481402247092
T18,M2,Z21,Z21,0.00421836118250117,1.0042272709918936
T18,M2,ZX,ZX,-0.6162268722086167,0.5399780047441752
T18,M2,CX,X染色体浓度,-1.0164287506410845,0.36188501684362384
T18,M2,GC,总体GC,-0.4282219204528594,0.6516667805636219
T18,M2,GC13,GC13,4.6129603777370995,100.7820614240454
T18,M2,GC18,GC18,-0.0077672020968239325,0.9922628846703218
T18,M2,GC21,GC21,-4.130894647026731,0.016068496757263788
T18,M2,Reads_log,log(1+原始读段数),0.24819089596443827,1.2817045810741654
T18,M2,Map,比对比例,0.3912447774776179,1.4788204510541074
T18,M2,Duplicate,重复读段比例,-0.13797564230733583,0.8711199099584244
T18,M2,Unique_log,log(1+唯一比对读段数),-0.29774708060061594,0.7424891059006358
T18,M2,Filter,过滤读段比例,-0.48395167965846436,0.6163429830962116
T18,M2,GW,检测孕周,0.2463483330192696,1.2793451340887527
T18,M2,BMI,检测时BMI,-0.17913422085820285,0.8359936840766568
T21,M1,intercept,截距,-3.8641454748409396,
T21,M1,Z13,Z13,-0.234044533989531,0.7913265741814924
T21,M1,Z18,Z18,-0.04171680166976001,0.959141369348189
T21,M1,Z21,Z21,-0.018054121942573987,0.9821078773337486
T21,M1,ZX,ZX,-0.006687507209135714,0.9933348044031391
T21,M1,CX,X染色体浓度,-0.1732797048281002,0.8409023774926997
T21,M2,intercept,截距,-4.105053381863226,
T21,M2,Z13,Z13,-0.18651314910727054,0.829847650123836
T21,M2,Z18,Z18,-0.14480476636229725,0.865191191046462
T21,M2,Z21,Z21,0.1134423771510787,1.1201273421041067
T21,M2,ZX,ZX,0.022836809211000557,1.023099565497956
T21,M2,CX,X染色体浓度,-0.12273355672529808,0.8844993000573925
T21,M2,GC,总体GC,0.09988900502056021,1.105048256459856
T21,M2,GC13,GC13,-0.09060867264015836,0.913375069627124
T21,M2,GC18,GC18,-0.05852183307857777,0.9431576481398282
T21,M2,GC21,GC21,-0.10396615777780101,0.9012557974040621
T21,M2,Reads_log,log(1+原始读段数),0.021387947369374,1.0216183089045205
T21,M2,Map,比对比例,-0.02224596352045433,0.9779996532275358
T21,M2,Duplicate,重复读段比例,-0.24329091655604376,0.7840433893879557
T21,M2,Unique_log,log(1+唯一比对读段数),0.020792065394494342,1.0210097263087445
T21,M2,Filter,过滤读段比例,0.280628793064531,1.3239620488117496
T21,M2,GW,检测孕周,0.3432747434411122,1.4095559749908995
T21,M2,BMI,检测时BMI,-0.23618372056047984,0.7896355883127455
