task,model,threshold_policy,Sensitivity,Precision,Specificity,F1,F2
T13,M0,F1阈值（主分析）,0.34782608695652173,0.029850746268656716,0.5532646048109966,0.054982817869415807,0.1111111111111111
T13,M0,F2阈值（召回敏感性）,0.6521739130434783,0.03177966101694915,0.21477663230240548,0.0606060606060606,0.13297872340425532
T13,M1,F1阈值（主分析）,0.21739130434782608,0.13513513513513514,0.9450171821305842,0.16666666666666666,0.1937984496124031
T13,M1,F2阈值（召回敏感性）,0.391304347826087,0.06338028169014084,0.7714776632302406,0.1090909090909091,0.19230769230769232
T13,M2,F1阈值（主分析）,0.30434782608695654,0.2916666666666667,0.9707903780068728,0.2978723404255319,0.3017241379310345
T13,M2,F2阈值（召回敏感性）,0.34782608695652173,0.18181818181818182,0.9381443298969072,0.2388059701492537,0.29411764705882354
T18,M0,F1阈值（主分析）,0.7608695652173914,0.08641975308641975,0.33810375670840787,0.15521064301552107,0.29711375212224106
T18,M0,F2阈值（召回敏感性）,0.8260869565217391,0.09026128266033254,0.3148479427549195,0.16274089935760172,0.3140495867768595
T18,M1,F1阈值（主分析）,0.391304347826087,0.2647058823529412,0.9105545617173524,0.3157894736842105,0.35714285714285715
T18,M1,F2阈值（召回敏感性）,0.6086956521739131,0.1917808219178082,0.7889087656529516,0.29166666666666663,0.42424242424242425
T18,M2,F1阈值（主分析）,0.4782608695652174,0.4230769230769231,0.9463327370304114,0.44897959183673475,0.4661016949152542
T18,M2,F2阈值（召回敏感性）,0.6739130434782609,0.25203252032520324,0.8354203935599285,0.3668639053254438,0.504885993485342
T21,M0,F1阈值（主分析）,0.07692307692307693,0.014705882352941176,0.8868243243243243,0.024691358024691357,0.041666666666666664
T21,M0,F2阈值（召回敏感性）,0.46153846153846156,0.01904761904761905,0.4780405405405405,0.03658536585365854,0.08174386920980926
T21,M1,F1阈值（主分析）,0.23076923076923078,0.014354066985645933,0.652027027027027,0.02702702702702703,0.05747126436781609
T21,M1,F2阈值（召回敏感性）,0.5384615384615384,0.017412935323383085,0.3327702702702703,0.03373493975903615,0.07709251101321586
T21,M2,F1阈值（主分析）,0.15384615384615385,0.06666666666666667,0.9527027027027027,0.09302325581395349,0.12195121951219512
T21,M2,F2阈值（召回敏感性）,0.38461538461538464,0.03164556962025317,0.7415540540540541,0.0584795321637427,0.11904761904761904
